tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2000-410,Monte Carlo Masters,Clay,64,M,20000417,026,102562,,,Jiri Novak,R,190,CZE,25.0732375086,37,862,103819,,,Roger Federer,R,185,SUI,18.6913073238,49,767,6-1 2-6 7-5,3,R64,106,2,0,78,59,39,10,13,3,6,4,7,105,58,35,20,14,14,19
2000-425,Barcelona,Clay,56,A,20000424,020,101843,,WC,Sergi Bruguera,R,188,ESP,29.2703627652,249,128,103819,,,Roger Federer,R,185,SUI,18.7104722793,51,771,6-1 6-1,3,R64,53,0,0,47,29,21,11,7,2,2,1,2,49,32,15,6,7,2,7
2000-416,Rome Masters,Clay,64,M,20000508,022,102446,,,Andrei Medvedev,R,193,UKR,25.6865160849,25,1051,103819,,,Roger Federer,R,185,SUI,18.7488021903,51,732,3-6 6-3 7-5,3,R64,118,8,1,110,65,47,25,15,12,13,5,4,88,47,36,22,15,2,4
2000-414,Hamburg Masters,Clay,64,M,20000515,003,102318,,Q,Andrei Pavel,R,183,ROU,26.2970568104,70,578,103819,,,Roger Federer,R,185,SUI,18.7679671458,50,735,6-4 6-3,3,R64,61,2,1,46,37,28,7,9,0,1,4,2,60,37,24,10,10,0,4
2000-306,St. Poelten,Clay,32,A,20000522,004,103082,,,Markus Hantschk,R,188,GER,22.5051334702,94,428,103819,8,,Roger Federer,R,185,SUI,18.7871321013,54,735,6-2 6-1,3,R32,54,0,0,36,17,14,15,7,0,0,2,2,64,36,19,10,8,6,11
2000-520,Roland Garros,Clay,128,G,20000529,089,103819,,,Roger Federer,R,185,SUI,18.8062970568,54,735,102998,,,Jan Michael Gambill,R,190,USA,22.9869952088,69,626,7-6(5) 6-3 6-3,5,R64,132,8,3,124,80,56,25,15,9,10,6,3,98,63,41,17,15,2,6
2000-520,Roland Garros,Clay,128,G,20000529,109,103819,,,Roger Federer,R,185,SUI,18.8062970568,54,735,103356,,Q,Michel Kratochvil,R,185,SUI,21.144421629,120,335,7-6(5) 6-4 2-6 6-7(4) 8-6,5,R32,265,14,7,179,101,75,40,28,10,16,6,15,212,101,67,60,28,17,23
2000-520,Roland Garros,Clay,128,G,20000529,119,102374,10,,Alex Corretja,R,180,ESP,26.1327857632,10,1776,103819,,,Roger Federer,R,185,SUI,18.8062970568,54,735,7-5 7-6(7) 6-2,5,R16,156,5,3,107,52,45,28,16,3,5,9,6,126,74,53,18,16,9,14
2000-520,Roland Garros,Clay,128,G,20000529,050,103819,,,Roger Federer,R,185,SUI,18.8062970568,54,735,101885,,,Wayne Arthurs,L,190,AUS,29.1991786448,106,386,7-6(4) 6-3 1-6 6-3,5,R128,147,5,4,135,80,59,31,19,11,13,16,7,119,57,49,31,18,7,9
2000-500,Halle,Grass,32,A,20000612,022,103819,,,Roger Federer,R,185,SUI,18.8446269678,38,859,101723,,,Magnus Larsson,R,193,SWE,30.2176591376,49,759,6-2 6-3,3,R16,42,9,1,41,20,18,14,8,0,0,2,2,47,30,15,9,9,0,4
